Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
4,93.42320532,65269.61784253639,248708.4892,2953.248771,89.88756208,4,473224763.9,1,9207772.186,6663.816572,81.7424612,1366
4,590.4689416,269432.03332673234,166104.1642,5305.174042,84.40334295,4,167069721.6,2,1685101.134,30656.04982,78.13904175,1743
1,625.9511425,389573.9667567513,424114.6308,2620.192622,60.49824887,2,84636100.09,2,5111812.899,1749.613759,8.461295633,363
1,779.9987283,379120.93969334674,308337.7316,1925.250307,86.89786068,3,396768982.2,2,4805902.371,43233.23782,8.402441206,2821
3,242.1068369,153544.9359123811,360437.7705,3948.945383,70.94935132,2,35744128.28,1,16686014.48,14858.66276,28.82286745,2583
1,596.1746308,266595.9072500508,415449.6225,9767.234396,50.90190642,3,449150517.7,2,11315378.7,16089.62608,9.038486886,309
5,912.4606257,379574.5264713225,268570.0281,9177.042493,54.34546335,1,485953840.0,1,8453916.11,9140.340246,20.11218696,3483
1,782.9344663,521582.15792811883,228390.8408,8894.275957,72.32395537,2,237006441.2,1,6831257.817,7054.752767,45.16850462,4155
1,842.2478217,525524.9194656634,364032.5316,1463.242396,73.44790678,2,107777969.1,1,15522816.74,40329.04778,83.56356726,4617
2,778.6692955,405301.9012986661,216170.7123,1792.133939,90.59240224,3,472545866.3,2,14086169.3,20564.87454,66.21395664,727
1,331.4526224,192684.5117506971,263867.8013,9776.231445,75.27720503,1,440466517.0,1,54235.26984,23050.9743,16.1741087,4327
5,923.3716098,474406.5467437521,433532.1176,5764.408399,64.88731091,1,373905846.3,2,10531180.73,22991.21367,35.48088444,1916
4,269.124322,200465.25559197718,412244.5355,2648.026535,50.58378728,1,117202214.9,1,3690420.567,10445.96593,76.94968569,2935
4,713.3930864,348059.06172564527,387135.1887,5547.755621,91.09545611,2,170269004.5,3,18042969.11,35928.70926,59.1699292,2252
3,292.2830709,215041.37055792083,16932.69006,2457.244777,65.55724059,2,313970944.0,3,16328048.97,11944.16501,13.79546248,3440
6,90.86643809,60643.05415872074,79092.992,384.3262147,66.13059773,3,204997524.9,1,1332253.107,45611.39552,74.88334649,1552
4,889.1545544,382030.1917635564,311190.4831,4.090269707,80.33276893,2,9053773.942,2,465266.8627,38668.76896,16.84662851,4783
7,878.6852088,413614.2576377051,427010.5295,5098.33819,71.1276647,1,156262222.9,3,10670647.4,30414.55311,70.18859809,1406
5,468.1550005,198983.44556388786,134075.9411,9136.15018,53.13851541,2,271498650.5,1,164183.9265,3294.346528,77.04082394,1116
1,973.7404781,589981.2255235021,406471.8827,9094.09479,69.68229888,2,380319250.0,1,7173750.18,14257.55934,60.24057395,4210
7,234.583508,120287.01466147648,384757.699,1055.466696,53.86057257,1,191894116.7,1,17079653.0,6812.438376,63.69531616,4251
5,697.6758745,328994.94489898824,133636.8911,2337.044258,95.52086549,2,318918809.7,1,13217332.87,32872.54745,31.07812473,3384
6,369.7757616,149673.2943120356,59044.50949,1589.1917,83.50803272,2,263973164.7,3,1912490.154,47863.73097,24.26251446,3750
6,121.1255985,78041.42536903406,277797.8654,3187.204882,67.33803418,2,263801897.1,2,17540808.2,36810.38206,30.2352936,223
2,737.37571,404150.55200516444,323636.7711,8991.182369,66.54514581,2,228919557.6,3,19130980.73,32390.44691,77.13027242,756
4,725.2334523,424042.67669469985,316116.7354,2412.684083,99.22139576,2,148878256.7,2,1991603.228,10811.14056,93.74352008,2955
5,98.44339681,71305.90367532845,444229.371,2541.809176,59.76521449,1,454046260.7,2,12151045.84,5924.75231,91.57976229,2218
7,511.911116,191350.8341212835,233208.2986,2357.734114,72.50422759,3,72272673.73,1,5947534.284,7196.52637,93.89590887,2406
1,613.1123247,415483.58471094124,441188.1696,772.9395548,82.96139206,1,452767527.5,3,15795168.48,35884.87653,2.623855637,3871
3,855.692318,545817.366715164,268301.2009,6950.845394,98.55213201,1,104139436.7,1,19651202.93,5649.383611,54.16497737,934
6,638.7794973,269208.62441923,236362.6792,7518.443574,58.10123397,2,124527969.9,2,9641548.211,27227.1013,4.110015345,4793
5,850.0664111,464866.8898492288,314622.5383,6858.453351,90.52459622,1,435807803.3,1,14742797.66,25511.01408,96.26732229,3418
4,836.8475872,331632.7790160427,328987.2611,7096.89847,65.77696395,2,431446289.3,1,19670967.03,23165.91779,56.44556286,1473
1,341.7827662,245966.94361061064,61360.61778,9514.826529,74.24506468,1,362664490.5,2,9440230.785,10220.6075,94.86765646,3444
4,436.6223601,247659.66051236982,267136.6811,9830.393977,56.26946627,3,318226069.1,3,7067421.79,48642.12088,7.570521466,4710
4,20.58552064,44194.35901054964,189224.664,6601.900834,91.12121158,2,322933417.1,2,4082588.572,7412.867223,44.83409787,1793
3,386.4604686,273144.24788539717,323687.2224,4017.623182,68.61917411,2,467401045.7,3,8366588.341,3277.17418,30.5235899,2450
2,826.5273359,446903.1257846428,361126.0204,5463.1386,66.82436698,2,425088746.2,3,5372065.613,1187.056003,89.75663202,3886
7,187.5521786,93334.17542003802,373960.4382,2142.057395,64.88325005,4,465801558.6,3,3612095.954,5482.940386,29.7626473,4694
7,277.1209112,95783.39126396831,160011.472,9572.763288,62.0789339,4,102158027.5,2,2936118.6,30730.54856,23.50429026,1652
3,485.7555282,335915.783534652,248354.6852,6083.951633,58.123724,1,81650064.92,3,2102350.671,4350.524104,87.02732246,1151
5,529.0615884,221545.48808008438,239191.9664,6499.490481,54.58106533,2,412263057.4,1,7091328.937,23717.66856,57.54591164,4765
5,52.53843502,47049.81578163017,260025.2395,7735.896754,61.56113489,3,108831107.4,1,17429287.2,45213.90579,25.06816607,162
2,759.0779959,417119.30662983225,377572.8893,9601.598532,69.44517198,4,219152527.6,3,19956029.77,26311.99811,28.78617576,3965
5,551.550595,281601.402546709,265329.2572,7286.055258,93.10703619,1,26787058.41,1,6133335.523,24894.67836,65.51383909,1057
4,575.2598746,310039.40679348423,91845.75705,7569.923862,74.60808121,2,178032740.0,2,17526052.27,48324.87314,51.47209488,4222
6,349.1203558,133331.2824248619,6686.591669,5103.533405,60.65558973,2,82874466.91,2,14091928.54,21295.28158,99.85726776,806
1,245.0947817,170094.28660555484,363935.132,2755.676774,98.03848108,2,387023796.3,2,1451854.086,32456.8292,55.71184112,3881
7,698.4807765,229719.20255406707,139407.5679,1938.154116,68.50416437,3,72079304.43,1,2531168.958,27375.11959,61.3918823,2644
4,288.0510871,166581.82134382287,279704.0665,3483.497892,58.53135203,1,256608948.8,1,14060694.59,7715.209842,95.58582629,1086
2,70.72719757,76621.48121530094,385899.0456,7465.763641,67.94965664,1,30652154.56,2,18819307.44,35960.29128,71.81377709,1584
5,173.3734828,123276.89201812491,127797.6901,2763.192096,99.16665858,2,496711677.2,1,352595.3404,13974.58581,61.41282443,872
7,720.849517,293684.0723007288,431470.9594,5494.196613,92.38233081,2,490340359.3,2,7371391.408,2960.940682,43.10674039,1517
4,496.1021647,299921.8326780524,349150.049,4974.059757,57.70919341,2,245064083.9,2,1329371.378,35815.63463,41.11082246,278
3,284.9766921,165456.54016217703,139412.0596,3309.073652,60.07295915,4,361290861.4,2,13705513.69,19152.23653,1.656759019,1955
7,605.0147401,320092.3812849779,353401.643,5238.73937,96.58550688,2,409504866.2,3,8135214.018,12233.73219,12.48919115,1918
2,100.2683316,82743.88155230932,126049.0219,8838.238542,99.31827806,1,382641761.5,1,3249707.66,31575.1133,39.71603717,728
7,742.7373581,300324.43450849643,147269.2502,9715.388991,93.16605117,2,429556596.8,3,238146.7048,20684.64182,71.07238757,472
1,437.8750288,217185.1015206429,95086.80736,5337.336591,72.90253295,3,486164401.1,3,8602228.375,31088.30889,6.777921784,3209
